"country","year","type","mood1990","Heterogeneity1990","LH_clust","UH_clust","E_clust","Cit_pref","Cit_pref_het","ExecGroup","LegGroup","SenGroup","Lpref","Epref","ExecParty_pref","MedianParty_pref","LEDist","gdp2y","infl2y","unemp2y","decade","lag_policy","ChangePolicy","lag_Cit_pref","ChangeCitPref","lag_ChangeCitPref","lag_Cit_pref_het","oo_cong","mo_cong","ProcessName","ProcessNumberAll","ProcessCollapsed"
"Argentina",1996,"Policy",0.998650278288439,1,"LH-Limited powers","UH-Limited powers","Proactive president",-0.296013844925361,1.73210064817162,6,2,NA,1.26137636324123,2.75609541890027,0.206086312060944,0.205971372474829,1.49471905565904,0.101635,-0.248348963503004,18,"1990",0.998920145508749,-0.000269867220309972,NA,NA,NA,NA,NA,NA,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",1997,"Policy",0.996971049423462,1,"LH-Limited powers","UH-Limited powers","Proactive president",0.28698233835089,0.607695117125715,6,2,NA,1.09310189303603,2.89403700414247,-0.00803579661016951,-0.0080357966101694,1.80093511110644,5.56102,-0.253668967005481,16.05000019,"1990",0.998650278288439,-0.00167922886497696,-0.296013844925361,0.582996183276251,NA,1.73210064817162,0.436112772685311,0.647723054474378,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",1998,"Policy",2.15990960370285,1,"LH-Limited powers","UH-Limited powers","Proactive president",0.802565181892433,0.756983908214366,6,2,NA,0.977958408519929,2.74287607699955,-0.117437701694653,-0.117118425066554,1.76491766847962,4.77166,-0.25225029940482,13.849999905,"1990",0.996971049423462,1.16293855427939,0.28698233835089,0.515582843541543,0.582996183276251,0.607695117125715,0.348077033505229,0.0941821407145266,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",1999,"Policy",2.17387675499308,1,"LH-Limited powers","UH-Limited powers","Proactive president",1.10010250557894,1.6921988386059,6,2,NA,0.896168276456025,2.36876764358328,-0.14889787838332,-0.148182698736378,1.47259936712726,-0.88744,-0.255423634827351,13.450000285,"1990",2.15990960370285,0.0139671512902302,0.802565181892433,0.297537323686504,0.515582843541543,0.756983908214366,0.421707552623477,0.244997336743729,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",2000,"Policy",2.17001274010301,1,"LH-Limited powers","UH-Limited powers","Proactive president",1.02667758097528,3.24327227626135,6,2,NA,0.827388432432511,1.83797902900801,-0.129801495440708,-0.128767039165668,1.0105905965755,-3.171045,-0.258895637113178,14.55000019,"2000",2.17387675499308,-0.00386401489007016,1.10010250557894,-0.0734249246036569,0.297537323686504,1.6921988386059,0.483112737606192,0.678066653933522,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",2001,"Policy",1.90908029642994,1,"LH-Limited powers","UH-Limited powers","Proactive president",0.435656187512011,2.97292879961592,6,2,5,0.751275812037578,1.21677755838807,-0.0875337216313574,-0.0864098679004487,0.465501746350488,-3.675115,-0.258708970323617,16.64999962,"2000",2.17001274010301,-0.26093244367307,1.02667758097528,-0.591021393463269,-0.0734249246036569,3.24327227626135,0.531235952748011,0.948240816282552,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",2002,"Policy",1.84891565171296,1,"LH-Limited powers","UH-Limited powers","Proactive president",-0.308156233622466,1.75545967446518,6,2,5,0.647487350859417,0.571430556837791,-0.0494797257198046,-0.048649606486747,0.0760567940216261,-8.67124,-0.20866360404242,18.09999943,"2000",1.90908029642994,-0.0601646447169801,0.435656187512011,-0.743812421134477,-0.591021393463269,2.97292879961592,0.414377324458607,0.802322590753929,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",2003,"Policy",1.91306470152968,1,"LH-Limited powers","UH-Limited powers","Proactive president",0.124475344943763,1.62830069943746,6,2,5,0.495679984486221,-0.0317946505284765,-0.0430246764705881,-0.0430246764705881,0.527474635014697,-2.116785,-0.181578252877177,17,"2000",1.84891565171296,0.0641490498167201,-0.308156233622466,0.432631578566229,-0.743812421134477,1.75545967446518,0.310441295437802,0.366313237343343,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",2004,"Policy",1.91017276424288,1,"LH-Limited powers","UH-Limited powers","Proactive president",0.35883387909995,2.0331799007554,6,2,5,0.286253840829395,-0.528764799645046,-0.0840265647474968,-0.0850610210225378,0.815018640474441,7.74644,-0.221655612595838,14.35000038,"2000",1.91306470152968,-0.00289193728679993,0.124475344943763,0.234358534156187,0.432631578566229,1.62830069943746,0.358976532437468,0.430619584931599,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",2005,"Policy",1.76735183545604,1,"LH-Limited powers","UH-Limited powers","Proactive president",0.629606887583437,3.60854752762369,6,2,5,0.0525818170932079,-0.863882870640804,-0.142234669811321,-0.142234669811321,0.916464687734012,7.9426,-0.228730283920185,11.60000038,"2000",1.91017276424288,-0.14282092878684,0.35883387909995,0.270773008483487,0.234358534156187,2.0331799007554,0.415193084760276,0.700078539376905,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",2006,"Policy",1.77034607154903,1,"LH-Limited powers","UH-Limited powers","Proactive president",0.724374962004716,2.7152523341678,6,2,5,-0.166399750636409,-0.982656982401973,-0.181428839509963,-0.175800904775514,0.816257231765564,7.65323,-0.216596942598746,10.35000038,"2000",1.76735183545604,0.00299423609298999,0.629606887583437,0.094768074421279,0.270773008483487,3.60854752762369,0.467128367383625,0.929131415367958,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
"Argentina",2007,"Policy",1.76772368707242,1,"LH-Limited powers","UH-Limited powers","Proactive president",0.28671107720186,4.32727021465909,6,2,5,-0.352473540039723,-0.82647956464953,-0.187619907642771,-0.170181930434937,0.474006024609807,7.062695,-0.218127610273143,9.30000019,"2000",1.77034607154903,-0.00262238447661001,0.724374962004716,-0.437663884802856,0.094768074421279,2.7152523341678,0.489392724664199,0.841900061988176,"LH-Limited powers:UH-Limited powers:Proactive president",12,7
